"Date","Gender","Type","Ranking","Player","Country","Age","Points","Tournaments"
2019-01-07,"men","singles","1","Novak Djokovic","SRB","31","9,135","18"
2019-01-07,"men","singles","2","Rafael Nadal","ESP","32","7,480","13"
2019-01-07,"men","singles","3","Roger Federer","SUI","37","6,420","17"
2019-01-07,"men","singles","4","Alexander Zverev","GER","21","6,385","21"
2019-01-07,"men","singles","5","Juan Martin del Potro","ARG","30","5,300","18"
2019-01-07,"men","singles","6","Kevin Anderson","RSA","32","4,810","20"
2019-01-07,"men","singles","7","Marin Cilic","CRO","30","4,160","18"
2019-01-07,"men","singles","8","Dominic Thiem","AUT","25","4,095","25"
2019-01-07,"men","singles","9","Kei Nishikori","JPN","29","3,750","25"
2019-01-07,"men","singles","10","John Isner","USA","33","3,155","23"
2019-01-07,"men","singles","11","Karen Khachanov","RUS","22","2,835","26"
2019-01-07,"men","singles","12","Borna Coric","CRO","22","2,435","19"
2019-01-07,"men","singles","13","Fabio Fognini","ITA","31","2,315","25"
2019-01-07,"men","singles","14","Kyle Edmund","GBR","23","2,150","23"
2019-01-07,"men","singles","15","Stefanos Tsitsipas","GRE","20","2,095","29"
2019-01-07,"men","singles","16","Daniil Medvedev","RUS","22","2,037","27"
2019-01-07,"men","singles","17","Milos Raonic","CAN","28","1,900","20"
2019-01-07,"men","singles","18","Marco Cecchinato","ITA","26","1,889","30"
2019-01-07,"men","singles","19","Diego Schwartzman","ARG","26","1,880","25"
2019-01-07,"men","singles","20","Nikoloz Basilashvili","GEO","26","1,820","29"
2019-01-07,"men","singles","21","Grigor Dimitrov","BUL","27","1,790","20"
2019-01-07,"men","singles","22","David Goffin","BEL","28","1,785","21"
2019-01-07,"men","singles","23","Roberto Bautista Agut","ESP","30","1,765","24"
2019-01-07,"men","singles","24","Pablo Carreno Busta","ESP","27","1,705","21"
2019-01-07,"men","singles","25","Hyeon Chung","KOR","22","1,585","23"
2019-01-07,"men","singles","26","Richard Gasquet","FRA","32","1,535","24"
2019-01-07,"men","singles","27","Denis Shapovalov","CAN","19","1,440","26"
2019-01-07,"men","singles","28","Fernando Verdasco","ESP","35","1,410","28"
2019-01-07,"men","singles","29","Alex de Minaur","AUS","19","1,253","26"
2019-01-07,"men","singles","30","Lucas Pouille","FRA","24","1,245","23"
2019-01-07,"men","singles","31","Gilles Simon","FRA","34","1,210","28"
2019-01-07,"men","singles","32","Gael Monfils","FRA","32","1,195","23"
2019-01-07,"men","singles","33","Steve Johnson","USA","29","1,190","24"
2019-01-07,"men","singles","34","Philipp Kohlschreiber","GER","35","1,125","24"
2019-01-07,"men","singles","35","Marton Fucsovics","HUN","26","1,122","27"
2019-01-07,"men","singles","36","Jeremy Chardy","FRA","31","1,120","26"
2019-01-07,"men","singles","37","Andreas Seppi","ITA","34","1,100","24"
2019-01-07,"men","singles","38","John Millman","AUS","29","1,083","23"
2019-01-07,"men","singles","39","Frances Tiafoe","USA","20","1,080","24"
2019-01-07,"men","singles","40","Martin Klizan","SVK","29","1,050","20"
2019-01-07,"men","singles","41","Adrian Mannarino","FRA","30","1,045","30"
2019-01-07,"men","singles","42","Malek Jaziri","TUN","34","1,042","30"
2019-01-07,"men","singles","43","Nicolas Jarry","CHI","23","1,022","22"
2019-01-07,"men","singles","44","Joao Sousa","POR","29","1,017","29"
2019-01-07,"men","singles","45","Dusan Lajovic","SRB","28","1,010","26"
2019-01-07,"men","singles","46","Damir Dzumhur","BIH","26","985","31"
2019-01-07,"men","singles","47","Matthew Ebden","AUS","31","981","26"
2019-01-07,"men","singles","48","Sam Querrey","USA","31","955","23"
2019-01-07,"men","singles","49","Robin Haase","NED","31","940","28"
2019-01-07,"men","singles","50","Taylor Fritz","USA","21","933","26"
2019-01-07,"men","singles","51","Nick Kyrgios","AUS","23","920","21"
2019-01-07,"men","singles","52","Matteo Berrettini","ITA","22","916","24"
2019-01-07,"men","singles","53","Pierre-Hugues Herbert","FRA","27","903","25"
2019-01-07,"men","singles","54","Leonardo Mayer","ARG","31","895","25"
2019-01-07,"men","singles","55","Benoit Paire","FRA","29","890","29"
2019-01-07,"men","singles","56","Mikhail Kukushkin","KAZ","31","890","23"
2019-01-07,"men","singles","57","Tomas Berdych","CZE","33","865","16"
2019-01-07,"men","singles","58","Jan-Lennard Struff","GER","28","855","25"
2019-01-07,"men","singles","59","Stan Wawrinka","SUI","33","830","18"
2019-01-07,"men","singles","60","Peter Gojowczyk","GER","29","830","25"
2019-01-07,"men","singles","61","Marius Copil","ROU","28","823","23"
2019-01-07,"men","singles","62","Denis Kudla","USA","26","818","28"
2019-01-07,"men","singles","63","Tennys Sandgren","USA","27","814","23"
2019-01-07,"men","singles","64","Feliciano Lopez","ESP","37","795","20"
2019-01-07,"men","singles","65","Albert Ramos-Vinolas","ESP","30","790","29"
2019-01-07,"men","singles","66","Guido Pella","ARG","28","790","25"
2019-01-07,"men","singles","67","Aljaz Bedene","SLO","29","760","21"
2019-01-07,"men","singles","68","Mischa Zverev","GER","31","746","30"
2019-01-07,"men","singles","69","Ivo Karlovic","CRO","39","739","24"
2019-01-07,"men","singles","70","Maximilian Marterer","GER","23","732","27"
2019-01-07,"men","singles","71","Vasek Pospisil","CAN","28","716","26"
2019-01-07,"men","singles","72","Jordan Thompson","AUS","24","715","30"
2019-01-07,"men","singles","73","Roberto Carballes Baena","ESP","25","714","29"
2019-01-07,"men","singles","74","Jaume Munar","ESP","21","702","29"
2019-01-07,"men","singles","75","Yoshihito Nishioka","JPN","23","701","23"
2019-01-07,"men","singles","76","Bradley Klahn","USA","28","699","23"
2019-01-07,"men","singles","77","Federico Delbonis","ARG","28","696","24"
2019-01-07,"men","singles","78","Taro Daniel","JPN","25","691","25"
2019-01-07,"men","singles","79","Mackenzie McDonald","USA","23","688","24"
2019-01-07,"men","singles","80","Guido Andreozzi","ARG","27","682","24"
2019-01-07,"men","singles","81","Ryan Harrison","USA","26","660","21"
2019-01-07,"men","singles","82","Pablo Andujar","ESP","32","658","21"
2019-01-07,"men","singles","83","Ernests Gulbis","LAT","30","657","16"
2019-01-07,"men","singles","84","Andrey Rublev","RUS","21","655","24"
2019-01-07,"men","singles","85","Bernard Tomic","AUS","26","655","13"
2019-01-07,"men","singles","86","Cristian Garin","CHI","22","650","23"
2019-01-07,"men","singles","87","Jiri Vesely","CZE","25","649","24"
2019-01-07,"men","singles","88","Hubert Hurkacz","POL","21","635","24"
2019-01-07,"men","singles","89","Jozef Kovalik","SVK","26","632","17"
2019-01-07,"men","singles","90","Pablo Cuevas","URU","33","630","23"
2019-01-07,"men","singles","91","Laslo Djere","SRB","23","621","25"
2019-01-07,"men","singles","92","Filip Krajinovic","SRB","26","620","20"
2019-01-07,"men","singles","93","Cameron Norrie","GBR","23","616","21"
2019-01-07,"men","singles","94","Ilya Ivashka","BLR","24","610","21"
2019-01-07,"men","singles","95","Evgeny Donskoy","RUS","28","599","26"
2019-01-07,"men","singles","96","Radu Albot","MDA","29","592","34"
2019-01-07,"men","singles","97","Mirza Basic","BIH","27","585","25"
2019-01-07,"men","singles","98","Ugo Humbert","FRA","20","584","28"
2019-01-07,"men","singles","99","Denis Istomin","UZB","32","577","24"
2019-01-07,"men","singles","100","Thomas Fabbiano","ITA","29","573","24"
2019-01-14,"men","singles","1","Novak Djokovic","SRB","31","9,135","18"
2019-01-14,"men","singles","2","Rafael Nadal","ESP","32","7,480","13"
2019-01-14,"men","singles","3","Roger Federer","SUI","37","6,420","17"
2019-01-14,"men","singles","4","Alexander Zverev","GER","21","6,385","21"
2019-01-14,"men","singles","5","Juan Martin del Potro","ARG","30","5,150","17"
2019-01-14,"men","singles","6","Kevin Anderson","RSA","32","4,810","20"
2019-01-14,"men","singles","7","Marin Cilic","CRO","30","4,160","18"
2019-01-14,"men","singles","8","Dominic Thiem","AUT","25","4,095","25"
2019-01-14,"men","singles","9","Kei Nishikori","JPN","29","3,750","25"
2019-01-14,"men","singles","10","John Isner","USA","33","3,155","23"
2019-01-14,"men","singles","11","Karen Khachanov","RUS","22","2,835","25"
2019-01-14,"men","singles","12","Borna Coric","CRO","22","2,435","19"
2019-01-14,"men","singles","13","Fabio Fognini","ITA","31","2,315","25"
2019-01-14,"men","singles","14","Kyle Edmund","GBR","24","2,150","23"
2019-01-14,"men","singles","15","Stefanos Tsitsipas","GRE","20","2,095","29"
2019-01-14,"men","singles","16","Diego Schwartzman","ARG","26","1,925","25"
2019-01-14,"men","singles","17","Milos Raonic","CAN","28","1,900","20"
2019-01-14,"men","singles","18","Marco Cecchinato","ITA","26","1,889","31"
2019-01-14,"men","singles","19","Daniil Medvedev","RUS","22","1,865","26"
2019-01-14,"men","singles","20","Nikoloz Basilashvili","GEO","26","1,820","29"
2019-01-14,"men","singles","21","Grigor Dimitrov","BUL","27","1,790","20"
2019-01-14,"men","singles","22","David Goffin","BEL","28","1,785","21"
2019-01-14,"men","singles","23","Pablo Carreno Busta","ESP","27","1,705","22"
2019-01-14,"men","singles","24","Roberto Bautista Agut","ESP","30","1,605","23"
2019-01-14,"men","singles","25","Hyeon Chung","KOR","22","1,585","23"
2019-01-14,"men","singles","26","Richard Gasquet","FRA","32","1,535","24"
2019-01-14,"men","singles","27","Denis Shapovalov","CAN","19","1,440","26"
2019-01-14,"men","singles","28","Fernando Verdasco","ESP","35","1,410","27"
2019-01-14,"men","singles","29","Alex de Minaur","AUS","19","1,353","26"
2019-01-14,"men","singles","30","Gilles Simon","FRA","34","1,280","28"
2019-01-14,"men","singles","31","Lucas Pouille","FRA","24","1,245","24"
2019-01-14,"men","singles","32","Philipp Kohlschreiber","GER","35","1,215","24"
2019-01-14,"men","singles","33","Gael Monfils","FRA","32","1,195","23"
2019-01-14,"men","singles","34","Steve Johnson","USA","29","1,190","24"
2019-01-14,"men","singles","35","Andreas Seppi","ITA","34","1,170","24"
2019-01-14,"men","singles","36","Jeremy Chardy","FRA","31","1,120","27"
2019-01-14,"men","singles","37","John Millman","AUS","29","1,108","23"
2019-01-14,"men","singles","38","Marton Fucsovics","HUN","26","1,094","27"
2019-01-14,"men","singles","39","Frances Tiafoe","USA","20","1,080","25"
2019-01-14,"men","singles","40","Martin Klizan","SVK","29","1,063","21"
2019-01-14,"men","singles","41","Tennys Sandgren","USA","27","1,058","23"
2019-01-14,"men","singles","42","Adrian Mannarino","FRA","30","1,045","30"
2019-01-14,"men","singles","43","Malek Jaziri","TUN","34","1,042","30"
2019-01-14,"men","singles","44","Joao Sousa","POR","29","1,017","29"
2019-01-14,"men","singles","45","Nicolas Jarry","CHI","23","1,015","21"
2019-01-14,"men","singles","46","Dusan Lajovic","SRB","28","1,010","27"
2019-01-14,"men","singles","47","Damir Dzumhur","BIH","26","985","30"
2019-01-14,"men","singles","48","Matthew Ebden","AUS","31","981","27"
2019-01-14,"men","singles","49","Sam Querrey","USA","31","975","23"
2019-01-14,"men","singles","50","Taylor Fritz","USA","21","964","27"
2019-01-14,"men","singles","51","Jan-Lennard Struff","GER","28","945","25"
2019-01-14,"men","singles","52","Nick Kyrgios","AUS","23","920","21"
2019-01-14,"men","singles","53","Leonardo Mayer","ARG","31","920","25"
2019-01-14,"men","singles","54","Matteo Berrettini","ITA","22","920","25"
2019-01-14,"men","singles","55","Pierre-Hugues Herbert","FRA","27","903","25"
2019-01-14,"men","singles","56","Mikhail Kukushkin","KAZ","31","890","22"
2019-01-14,"men","singles","57","Tomas Berdych","CZE","33","865","16"
2019-01-14,"men","singles","58","Robin Haase","NED","31","860","28"
2019-01-14,"men","singles","59","Stan Wawrinka","SUI","33","830","18"
2019-01-14,"men","singles","60","Marius Copil","ROU","28","823","24"
2019-01-14,"men","singles","61","Benoit Paire","FRA","29","820","29"
2019-01-14,"men","singles","62","Denis Kudla","USA","26","818","29"
2019-01-14,"men","singles","63","Peter Gojowczyk","GER","29","805","25"
2019-01-14,"men","singles","64","Albert Ramos-Vinolas","ESP","30","790","29"
2019-01-14,"men","singles","65","Guido Pella","ARG","28","790","26"
2019-01-14,"men","singles","66","Feliciano Lopez","ESP","37","770","19"
2019-01-14,"men","singles","67","Aljaz Bedene","SLO","29","760","20"
2019-01-14,"men","singles","68","Cameron Norrie","GBR","23","760","22"
2019-01-14,"men","singles","69","Yoshihito Nishioka","JPN","23","758","24"
2019-01-14,"men","singles","70","Mischa Zverev","GER","31","746","29"
2019-01-14,"men","singles","71","Maximilian Marterer","GER","23","744","27"
2019-01-14,"men","singles","72","Jordan Thompson","AUS","24","740","30"
2019-01-14,"men","singles","73","Ivo Karlovic","CRO","39","739","24"
2019-01-14,"men","singles","74","Vasek Pospisil","CAN","28","716","26"
2019-01-14,"men","singles","75","Roberto Carballes Baena","ESP","25","714","30"
2019-01-14,"men","singles","76","Hubert Hurkacz","POL","21","708","25"
2019-01-14,"men","singles","77","Guido Andreozzi","ARG","27","708","25"
2019-01-14,"men","singles","78","Bradley Klahn","USA","28","704","24"
2019-01-14,"men","singles","79","Jaume Munar","ESP","21","702","29"
2019-01-14,"men","singles","80","Federico Delbonis","ARG","28","696","24"
2019-01-14,"men","singles","81","Mackenzie McDonald","USA","23","692","25"
2019-01-14,"men","singles","82","Taro Daniel","JPN","25","691","25"
2019-01-14,"men","singles","83","Ryan Harrison","USA","26","660","22"
2019-01-14,"men","singles","84","Ilya Ivashka","BLR","24","658","22"
2019-01-14,"men","singles","85","Pablo Andujar","ESP","32","658","21"
2019-01-14,"men","singles","86","Ernests Gulbis","LAT","30","657","16"
2019-01-14,"men","singles","87","Andrey Rublev","RUS","21","655","25"
2019-01-14,"men","singles","88","Bernard Tomic","AUS","26","655","13"
2019-01-14,"men","singles","89","Cristian Garin","CHI","22","650","23"
2019-01-14,"men","singles","90","Jiri Vesely","CZE","25","633","24"
2019-01-14,"men","singles","91","Jozef Kovalik","SVK","26","632","17"
2019-01-14,"men","singles","92","Laslo Djere","SRB","23","627","25"
2019-01-14,"men","singles","93","Filip Krajinovic","SRB","26","620","20"
2019-01-14,"men","singles","94","Pablo Cuevas","URU","33","616","23"
2019-01-14,"men","singles","95","Ugo Humbert","FRA","20","613","29"
2019-01-14,"men","singles","96","Evgeny Donskoy","RUS","28","599","25"
2019-01-14,"men","singles","97","Reilly Opelka","USA","21","593","18"
2019-01-14,"men","singles","98","Radu Albot","MDA","29","585","33"
2019-01-14,"men","singles","99","Mirza Basic","BIH","27","585","25"
2019-01-14,"men","singles","100","Guillermo Garcia-Lopez","ESP","35","582","29"
2019-01-28,"men","singles","1","Novak Djokovic","SRB","31","10,955","18"
2019-01-28,"men","singles","2","Rafael Nadal","ESP","32","8,320","13"
2019-01-28,"men","singles","3","Alexander Zverev","GER","21","6,475","21"
2019-01-28,"men","singles","4","Juan Martin del Potro","ARG","30","5,060","17"
2019-01-28,"men","singles","5","Kevin Anderson","RSA","32","4,845","20"
2019-01-28,"men","singles","6","Roger Federer","SUI","37","4,600","17"
2019-01-28,"men","singles","7","Kei Nishikori","JPN","29","4,110","24"
2019-01-28,"men","singles","8","Dominic Thiem","AUT","25","3,960","25"
2019-01-28,"men","singles","9","John Isner","USA","33","3,155","23"
2019-01-28,"men","singles","10","Marin Cilic","CRO","30","3,140","18"
2019-01-28,"men","singles","11","Karen Khachanov","RUS","22","2,880","25"
2019-01-28,"men","singles","12","Stefanos Tsitsipas","GRE","20","2,805","29"
2019-01-28,"men","singles","13","Borna Coric","CRO","22","2,605","19"
2019-01-28,"men","singles","14","Milos Raonic","CAN","28","2,250","20"
2019-01-28,"men","singles","15","Fabio Fognini","ITA","31","2,225","25"
2019-01-28,"men","singles","16","Daniil Medvedev","RUS","22","2,000","26"
2019-01-28,"men","singles","17","Lucas Pouille","FRA","24","1,955","24"
2019-01-28,"men","singles","18","Roberto Bautista Agut","ESP","30","1,955","23"
2019-01-28,"men","singles","19","Marco Cecchinato","ITA","26","1,870","31"
2019-01-28,"men","singles","20","Diego Schwartzman","ARG","26","1,835","25"
2019-01-28,"men","singles","21","David Goffin","BEL","28","1,830","21"
2019-01-28,"men","singles","22","Nikoloz Basilashvili","GEO","26","1,820","29"
2019-01-28,"men","singles","23","Pablo Carreno Busta","ESP","27","1,705","22"
2019-01-28,"men","singles","24","Grigor Dimitrov","BUL","27","1,610","20"
2019-01-28,"men","singles","25","Denis Shapovalov","CAN","19","1,485","26"
2019-01-28,"men","singles","26","Fernando Verdasco","ESP","35","1,455","27"
2019-01-28,"men","singles","27","Richard Gasquet","FRA","32","1,445","24"
2019-01-28,"men","singles","28","Alex de Minaur","AUS","19","1,443","26"
2019-01-28,"men","singles","29","Kyle Edmund","GBR","24","1,440","23"
2019-01-28,"men","singles","30","Frances Tiafoe","USA","21","1,430","24"
2019-01-28,"men","singles","31","Gilles Simon","FRA","34","1,280","28"
2019-01-28,"men","singles","32","Philipp Kohlschreiber","GER","35","1,250","24"
2019-01-28,"men","singles","33","Gael Monfils","FRA","32","1,195","23"
2019-01-28,"men","singles","34","Steve Johnson","USA","29","1,190","24"
2019-01-28,"men","singles","35","Jeremy Chardy","FRA","31","1,155","27"
2019-01-28,"men","singles","36","John Millman","AUS","29","1,108","23"
2019-01-28,"men","singles","37","Andreas Seppi","ITA","34","1,080","24"
2019-01-28,"men","singles","38","Martin Klizan","SVK","29","1,066","22"
2019-01-28,"men","singles","39","Joao Sousa","POR","29","1,062","29"
2019-01-28,"men","singles","40","Taylor Fritz","USA","21","1,038","27"
2019-01-28,"men","singles","41","Nicolas Jarry","CHI","23","1,015","21"
2019-01-28,"men","singles","42","Dusan Lajovic","SRB","28","1,010","27"
2019-01-28,"men","singles","43","Malek Jaziri","TUN","35","1,007","30"
2019-01-28,"men","singles","44","Pierre-Hugues Herbert","FRA","27","983","25"
2019-01-28,"men","singles","45","Matthew Ebden","AUS","31","981","27"
2019-01-28,"men","singles","46","Adrian Mannarino","FRA","30","965","31"
2019-01-28,"men","singles","47","Marton Fucsovics","HUN","26","959","27"
2019-01-28,"men","singles","48","Sam Querrey","USA","31","940","23"
2019-01-28,"men","singles","49","Leonardo Mayer","ARG","31","920","25"
2019-01-28,"men","singles","50","Hyeon Chung","KOR","22","910","23"
2019-01-28,"men","singles","51","Jan-Lennard Struff","GER","28","910","25"
2019-01-28,"men","singles","52","Damir Dzumhur","BIH","26","905","30"
2019-01-28,"men","singles","53","Matteo Berrettini","ITA","22","904","25"
2019-01-28,"men","singles","54","Robin Haase","NED","31","895","28"
2019-01-28,"men","singles","55","Mikhail Kukushkin","KAZ","31","890","22"
2019-01-28,"men","singles","56","Marius Copil","ROU","28","858","24"
2019-01-28,"men","singles","57","Stan Wawrinka","SUI","33","830","18"
2019-01-28,"men","singles","58","Benoit Paire","FRA","29","820","30"
2019-01-28,"men","singles","59","Denis Kudla","USA","26","793","28"
2019-01-28,"men","singles","60","Guido Pella","ARG","28","790","26"
2019-01-28,"men","singles","61","Jordan Thompson","AUS","24","775","30"
2019-01-28,"men","singles","62","Peter Gojowczyk","GER","29","770","25"
2019-01-28,"men","singles","63","Feliciano Lopez","ESP","37","770","19"
2019-01-28,"men","singles","64","Cameron Norrie","GBR","23","762","21"
2019-01-28,"men","singles","65","Aljaz Bedene","SLO","29","760","20"
2019-01-28,"men","singles","66","Yoshihito Nishioka","JPN","23","758","24"
2019-01-28,"men","singles","67","Nick Kyrgios","AUS","23","750","21"
2019-01-28,"men","singles","68","Mischa Zverev","GER","31","746","29"
2019-01-28,"men","singles","69","Taro Daniel","JPN","26","726","25"
2019-01-28,"men","singles","70","Guido Andreozzi","ARG","27","711","27"
2019-01-28,"men","singles","71","Albert Ramos-Vinolas","ESP","31","710","29"
2019-01-28,"men","singles","72","Filip Krajinovic","SRB","26","710","20"
2019-01-28,"men","singles","73","Hubert Hurkacz","POL","21","710","24"
2019-01-28,"men","singles","74","Roberto Carballes Baena","ESP","25","709","31"
2019-01-28,"men","singles","75","Tennys Sandgren","USA","27","708","23"
2019-01-28,"men","singles","76","Maximilian Marterer","GER","23","699","27"
2019-01-28,"men","singles","77","Federico Delbonis","ARG","28","696","24"
2019-01-28,"men","singles","78","Ivo Karlovic","CRO","39","694","24"
2019-01-28,"men","singles","79","Tomas Berdych","CZE","33","685","16"
2019-01-28,"men","singles","80","Jaume Munar","ESP","21","677","29"
2019-01-28,"men","singles","81","Ilya Ivashka","BLR","24","674","22"
2019-01-28,"men","singles","82","Mackenzie McDonald","USA","23","668","26"
2019-01-28,"men","singles","83","Pablo Andujar","ESP","33","668","22"
2019-01-28,"men","singles","84","Ernests Gulbis","LAT","30","659","15"
2019-01-28,"men","singles","85","Thomas Fabbiano","ITA","29","653","25"
2019-01-28,"men","singles","86","Bernard Tomic","AUS","26","649","13"
2019-01-28,"men","singles","87","Bradley Klahn","USA","28","639","24"
2019-01-28,"men","singles","88","Laslo Djere","SRB","23","627","25"
2019-01-28,"men","singles","89","Jozef Kovalik","SVK","26","624","17"
2019-01-28,"men","singles","90","Radu Albot","MDA","29","620","33"
2019-01-28,"men","singles","91","Ugo Humbert","FRA","20","620","29"
2019-01-28,"men","singles","92","Pablo Cuevas","URU","33","616","23"
2019-01-28,"men","singles","93","Ryan Harrison","USA","26","615","22"
2019-01-28,"men","singles","94","Vasek Pospisil","CAN","28","611","25"
2019-01-28,"men","singles","95","Cristian Garin","CHI","22","610","23"
2019-01-28,"men","singles","96","Evgeny Donskoy","RUS","28","599","25"
